Date,Day,Country,Type,Counts
8/6/2014,137,SierraLeone,Cases,717.0
8/4/2014,135,SierraLeone,Cases,691.0
8/1/2014,132,SierraLeone,Cases,646.0
7/30/2014,129,SierraLeone,Cases,574.0
7/27/2014,126,SierraLeone,Cases,533.0
7/23/2014,123,SierraLeone,Cases,525.0
7/20/2014,120,SierraLeone,Cases,454.0
7/17/2014,117,SierraLeone,Cases,442.0
7/14/2014,114,SierraLeone,Cases,397.0
7/12/2014,112,SierraLeone,Cases,386.0
7/8/2014,108,SierraLeone,Cases,337.0
7/6/2014,106,SierraLeone,Cases,305.0
7/2/2014,102,SierraLeone,Cases,252.0
6/30/2014,100,SierraLeone,Cases,239.0
6/22/2014,92,SierraLeone,Cases,
6/20/2014,90,SierraLeone,Cases,158.0
6/19/2014,89,SierraLeone,Cases,
6/18/2014,88,SierraLeone,Cases,136.0
6/17/2014,87,SierraLeone,Cases,97.0
6/16/2014,86,SierraLeone,Cases,
6/10/2014,80,SierraLeone,Cases,89.0
6/5/2014,75,SierraLeone,Cases,81.0
6/3/2014,73,SierraLeone,Cases,
6/1/2014,71,SierraLeone,Cases,79.0
5/28/2014,67,SierraLeone,Cases,50.0
5/27/2014,66,SierraLeone,Cases,16.0
5/23/2014,62,SierraLeone,Cases,0.0
5/12/2014,51,SierraLeone,Cases,0.0
5/10/2014,49,SierraLeone,Cases,0.0
5/7/2014,46,SierraLeone,Cases,0.0
5/5/2014,44,SierraLeone,Cases,0.0
5/3/2014,42,SierraLeone,Cases,0.0
5/1/2014,40,SierraLeone,Cases,0.0
4/26/2014,35,SierraLeone,Cases,0.0
4/24/2014,33,SierraLeone,Cases,0.0
4/23/2014,32,SierraLeone,Cases,0.0
4/22/2014,31,SierraLeone,Cases,0.0
4/21/2014,30,SierraLeone,Cases,
4/20/2014,29,SierraLeone,Cases,
4/17/2014,26,SierraLeone,Cases,
4/16/2014,25,SierraLeone,Cases,
4/15/2014,24,SierraLeone,Cases,12.0
4/14/2014,23,SierraLeone,Cases,
4/11/2014,20,SierraLeone,Cases,2.0
4/9/2014,18,SierraLeone,Cases,2.0
4/7/2014,16,SierraLeone,Cases,2.0
4/4/2014,13,SierraLeone,Cases,2.0
4/1/2014,10,SierraLeone,Cases,2.0
3/31/2014,9,SierraLeone,Cases,2.0
3/29/2014,7,SierraLeone,Cases,
3/28/2014,6,SierraLeone,Cases,2.0
3/27/2014,5,SierraLeone,Cases,6.0
3/26/2014,4,SierraLeone,Cases,
3/25/2014,3,SierraLeone,Cases,
3/24/2014,2,SierraLeone,Cases,
3/22/2014,0,SierraLeone,Cases,
1/5/2015,289,Nigeria,Cases,
1/4/2015,288,Nigeria,Cases,
1/3/2015,287,Nigeria,Cases,
1/2/2015,286,Nigeria,Cases,
12/31/2014,284,Nigeria,Cases,
12/28/2014,281,Nigeria,Cases,
12/27/2014,280,Nigeria,Cases,
12/24/2014,277,Nigeria,Cases,
12/21/2014,273,Nigeria,Cases,
12/20/2014,272,Nigeria,Cases,
12/18/2014,271,Nigeria,Cases,
12/14/2014,267,Nigeria,Cases,
12/9/2014,262,Nigeria,Cases,
12/7/2014,260,Nigeria,Cases,20.0
12/3/2014,256,Nigeria,Cases,
11/30/2014,253,Nigeria,Cases,20.0
11/28/2014,251,Nigeria,Cases,
11/23/2014,246,Nigeria,Cases,20.0
11/22/2014,245,Nigeria,Cases,
11/18/2014,241,Nigeria,Cases,20.0
11/16/2014,239,Nigeria,Cases,20.0
11/15/2014,238,Nigeria,Cases,
11/11/2014,234,Nigeria,Cases,20.0
11/10/2014,233,Nigeria,Cases,
11/9/2014,232,Nigeria,Cases,20.0
11/8/2014,231,Nigeria,Cases,
11/4/2014,227,Nigeria,Cases,20.0
11/3/2014,226,Nigeria,Cases,
11/2/2014,225,Nigeria,Cases,20.0
10/31/2014,222,Nigeria,Cases,
10/29/2014,220,Nigeria,Cases,20.0
10/27/2014,218,Nigeria,Cases,20.0
10/25/2014,216,Nigeria,Cases,
10/22/2014,214,Nigeria,Cases,
10/21/2014,213,Nigeria,Cases,
10/19/2014,211,Nigeria,Cases,20.0
10/18/2014,210,Nigeria,Cases,
10/14/2014,206,Nigeria,Cases,20.0
10/13/2014,205,Nigeria,Cases,
10/12/2014,204,Nigeria,Cases,20.0
10/11/2014,203,Nigeria,Cases,
10/8/2014,200,Nigeria,Cases,20.0
10/7/2014,199,Nigeria,Cases,
10/5/2014,197,Nigeria,Cases,20.0
10/4/2014,196,Nigeria,Cases,
10/1/2014,193,Nigeria,Cases,20.0
9/28/2014,190,Nigeria,Cases,20.0
9/23/2014,185,Nigeria,Cases,20.0
9/21/2014,183,Nigeria,Cases,20.0
9/20/2014,182,Nigeria,Cases,
9/19/2014,181,Nigeria,Cases,
9/17/2014,179,Nigeria,Cases,
9/14/2014,176,Nigeria,Cases,
9/13/2014,175,Nigeria,Cases,21.0
9/10/2014,172,Nigeria,Cases,21.0
9/9/2014,171,Nigeria,Cases,
9/7/2014,169,Nigeria,Cases,21.0
9/5/2014,167,Nigeria,Cases,22.0
8/31/2014,162,Nigeria,Cases,21.0
8/26/2014,157,Nigeria,Cases,17.0
8/20/2014,151,Nigeria,Cases,16.0
8/18/2014,149,Nigeria,Cases,15.0
8/16/2014,147,Nigeria,Cases,15.0
8/13/2014,144,Nigeria,Cases,12.0
8/11/2014,142,Nigeria,Cases,12.0
8/9/2014,140,Nigeria,Cases,13.0
8/6/2014,137,Nigeria,Cases,13.0
8/4/2014,135,Nigeria,Cases,9.0
8/1/2014,132,Nigeria,Cases,4.0
7/30/2014,129,Nigeria,Cases,3.0
7/27/2014,126,Nigeria,Cases,1.0
7/23/2014,123,Nigeria,Cases,0.0
7/20/2014,120,Nigeria,Cases,
7/17/2014,117,Nigeria,Cases,
7/14/2014,114,Nigeria,Cases,
7/12/2014,112,Nigeria,Cases,
7/8/2014,108,Nigeria,Cases,
7/6/2014,106,Nigeria,Cases,
7/2/2014,102,Nigeria,Cases,
6/30/2014,100,Nigeria,Cases,
6/22/2014,92,Nigeria,Cases,
6/20/2014,90,Nigeria,Cases,
6/19/2014,89,Nigeria,Cases,
6/18/2014,88,Nigeria,Cases,
6/17/2014,87,Nigeria,Cases,
6/16/2014,86,Nigeria,Cases,
6/10/2014,80,Nigeria,Cases,
6/5/2014,75,Nigeria,Cases,
6/3/2014,73,Nigeria,Cases,
6/1/2014,71,Nigeria,Cases,
5/28/2014,67,Nigeria,Cases,
5/27/2014,66,Nigeria,Cases,
5/23/2014,62,Nigeria,Cases,
5/12/2014,51,Nigeria,Cases,
5/10/2014,49,Nigeria,Cases,
5/7/2014,46,Nigeria,Cases,
5/5/2014,44,Nigeria,Cases,
5/3/2014,42,Nigeria,Cases,
5/1/2014,40,Nigeria,Cases,
4/26/2014,35,Nigeria,Cases,
4/24/2014,33,Nigeria,Cases,
4/23/2014,32,Nigeria,Cases,
4/22/2014,31,Nigeria,Cases,
